time,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,XOM
2005-03-31,,,28.27586339,,,,,30.56224124
2005-04-01,,,28.21814473,,,,,31.04938585
2005-04-04,,,28.31432753,,,,,31.10065964
2005-04-05,,,28.41050391,,,,,30.79811914
2005-04-06,,,28.59645133,,,,,31.22885694
2005-04-07,,,28.74391538,,,,,31.20322773
2005-04-08,,,28.64773258,,,,,30.77247455
2005-04-11,,,28.84009176,,,,,30.91605553
2005-04-12,,,29.18632675,,,,,30.98784602
2005-04-13,,,28.92344463,,,,,30.33147584
2005-04-14,,,28.64773258,,,,,30.12636529
2005-04-15,,,28.39126864,,,,,28.81362495
2005-04-18,,,28.67979779,,,,,29.3571815
2005-04-19,,,28.80802656,,,,,30.06483059
2005-04-20,,,28.35920984,,,,,29.30077469
2005-04-21,,,28.46179798,,,,,30.39814357
2005-04-22,,,28.44897447,,,,,30.46993406
2005-04-25,,,28.74391538,,,,,30.74684535
2005-04-26,,,28.60285668,,,,,30.39301568
2005-04-27,,,28.76956241,,,,,29.93663329
2005-04-28,,,28.65415075,,,,,28.716195
2005-04-29,,,28.8785559,,,,,29.24436788
2005-05-02,,,29.07091508,,,,,29.60845333
2005-05-03,,,29.0837386,,,,,28.9725896
2005-05-04,,,29.4748559,,,,,29.34692571
2005-05-05,,,29.3979212,,,,,29.63921556
2005-05-06,,,29.16709788,,,,,29.53666285
2005-05-09,,,29.32097368,,,,,29.74689616
2005-05-10,,,29.09656212,,,,,29.34692571
2005-05-11,,,29.27609137,,,,,29.5273108
2005-05-12,,,29.07091508,,,,,28.25428095
2005-05-13,,,28.93626815,,,,,27.67702682
2005-05-16,,,29.3979212,,,,,27.49664167
2005-05-17,,,29.5838558,,,,,27.75949096
2005-05-18,,,29.9108491,,,,,27.65125162
2005-05-19,,,29.78262033,,,,,28.2594298
2005-05-20,,,29.85956785,,,,,27.83679594
2005-05-23,,,29.84673792,,,,,28.21819773
2005-05-24,,,29.88520847,,,,,28.36765883
2005-05-25,,,29.84031975,,,,,28.69751539
2005-05-26,,,29.94933247,,,,,28.97583702
2005-05-27,,,29.9108491,,,,,29.27476952
2005-05-31,,,29.69927387,,,,,28.965529
2005-06-01,,,29.97119655,,,,,29.45515467
2005-06-02,,,29.89997528,,,,,29.54278313
2005-06-03,,,29.64099534,,,,,29.45515467
2005-06-06,,,29.71868479,,,,,29.68709537
2005-06-07,,,29.69279262,,,,,29.60978009
2005-06-08,,,29.72516593,,,,,29.23869146
2005-06-09,,,29.84170981,,,,,30.12002695
2005-06-10,,,29.78343787,,,,,30.0891029
2005-06-13,,,29.73164059,,,,,30.12518096
2005-06-14,,,29.76401389,,,,,30.17672105
2005-06-15,,,30.17192397,,,,,30.53750166
2005-06-16,,,30.06184179,,,,,30.98590042
2005-06-17,,,30.19781614,,,,,31.38275909
2005-06-20,,,30.24314523,,,,,31.36214821
2005-06-21,,,30.48270119,,,,,30.67150073
2005-06-22,,,30.47623301,,,,,30.75397002
2005-06-23,,,30.17192397,,,,,30.41895946
2005-06-24,,,30.2690374,,,,,29.97055554
2005-06-27,,,30.04241781,,,,,30.5632717
2005-06-28,,,30.21724012,,,,,30.45503752
2005-06-29,,,30.37263197,,,,,30.12002695
2005-06-30,,,29.53092611,,,,,29.62008811
2005-07-01,,,29.12302251,,,,,30.05302484
2005-07-05,,,29.20719309,,,,,30.99620843
2005-07-06,,,28.94173202,,,,,30.46534554
2005-07-07,,,28.92877622,,,,,30.67665989
2005-07-08,,,29.23308526,,,,,30.61480663
2005-07-11,,,29.24604106,,,,,30.90859029
2005-07-12,,,29.3366863,,,,,30.86735822
2005-07-13,,,29.62157136,,,,,30.80035095
2005-07-14,,,29.66041932,,,,,30.19733708
2005-07-15,,,29.77048855,,,,,29.97571471
2005-07-18,,,29.18776911,,,,,29.97055554
2005-07-19,,,29.01943442,,,,,30.29526325
2005-07-20,,,29.04532658,,,,,30.40865144
2005-07-21,,,28.87699189,,,,,29.83655647
2005-07-22,,,29.0388584,,,,,30.66635188
2005-07-25,,,28.91583338,,,,,30.89312826
2005-07-26,,,28.83166279,,,,,30.71789712
2005-07-27,,,28.58561922,,,,,30.71789712
2005-07-28,,,28.49497397,,,,,30.92405231
2005-07-29,,,28.22952585,,,,,30.27980122
2005-08-01,,,28.26836734,,,,,30.52719364
2005-08-02,,,28.44965783,,,,,30.82612615
2005-08-03,,,28.34606326,,,,,30.40865144
2005-08-04,,,28.30074711,,,,,30.16125902
2005-08-05,,,28.00290626,,,,,29.93963665
2005-08-08,,,27.80219179,,,,,30.33134646
2005-08-09,,,27.77628667,,,,,30.645741
2005-08-10,,,27.67917324,,,,,31.02381736
2005-08-11,,,27.70506541,,,,,31.56764581
2005-08-12,,,27.64032528,,,,,31.6194385
2005-08-15,,,27.95757716,,,,,31.29314454
2005-08-16,,,28.3072153,,,,,30.59394838
2005-08-17,,,28.31368996,,,,,30.13298306
2005-08-18,,,28.35901258,,,,,30.09673335
2005-08-19,,,28.24246869,,,,,30.46446665
2005-08-22,,,28.32017109,,,,,30.59394838
2005-08-23,,,28.0611782,,,,,30.55768831
2005-08-24,,,27.7827678,,,,,30.49553708
2005-08-25,,,27.88636885,,,,,30.65090998
2005-08-26,,,27.73744518,,,,,30.25211143
2005-08-29,,,28.07412752,,,,,30.2572907
2005-08-30,,,27.90579283,,,,,30.35569682
2005-08-31,,,28.18746453,,,,,31.02381736
2005-09-01,,,28.23332566,,,,,31.94572728
2005-09-02,,,28.10885668,,,,,31.42780036
2005-09-06,,,28.39709201,,,,,31.62461777
2005-09-07,,,28.37088285,,,,,31.83179372
2005-09-08,,,28.18746453,,,,,31.74892023
2005-09-09,,,28.1350593,,,,,32.73298138
2005-09-12,,,27.97129295,,,,,32.38079107
2005-09-13,,,27.94509033,,,,,32.04413858
2005-09-14,,,27.93198902,,,,,32.35489473
2005-09-15,,,27.99094491,,,,,32.34972064
2005-09-16,,,28.6132505,,,,,32.99194484
2005-09-19,,,28.42328808,,,,,33.47361688
2005-09-20,,,28.16781257,,,,,33.42182418
2005-09-21,,,27.68305762,,,,,33.64971203
2005-09-22,,,27.63720959,,,,,33.6548913
2005-09-23,,,27.66341221,,,,,33.05927534
2005-09-26,,,27.51274716,,,,,33.45808425
2005-09-27,,,27.46034193,,,,,33.46843761
2005-09-28,,,27.25072755,,,,,33.50987176
2005-09-29,,,27.57826025,,,,,33.56166445
2005-09-30,,,27.57826025,,,,,32.90907135
2005-10-03,,,27.54550043,,,,,32.36525845
2005-10-04,,,27.45379127,,,,,31.36047504
2005-10-05,,,27.4865511,,,,,30.53179197
2005-10-06,,,27.66341221,,,,,30.33498492
2005-10-07,,,27.68961482,,,,,30.86844965
2005-10-10,,,27.57170305,,,,,30.29872485
2005-10-11,,,27.43413931,,,,,30.7648539
2005-10-12,,,27.44068997,,,,,30.5266127
2005-10-13,,,27.51274716,,,,,30.1226297
2005-10-14,,,27.54550043,,,,,30.37123462
2005-10-17,,,27.54550043,,,,,30.48517855
2005-10-18,,,27.23107559,,,,,29.15928563
2005-10-19,,,27.80097594,,,,,29.60988205
2005-10-20,,,27.64376024,,,,,28.58956602
2005-10-21,,,27.68305762,,,,,28.67761359
2005-10-24,,,28.41673743,,,,,29.44415061
2005-10-25,,,28.28571779,,,,,29.62541986
2005-10-26,,,28.29882565,,,,,29.10749294
2005-10-27,,,28.28571779,,,,,28.79674196
2005-10-28,,,28.80977667,,,,,29.1644649
2005-10-31,,,28.65256752,,,,,29.07641732
2005-11-01,,,28.57395312,,,,,29.21107314
2005-11-02,,,28.87528321,,,,,29.7186467
2005-11-03,,,28.82942208,,,,,30.33498492
2005-11-04,,,28.97354302,,,,,29.98796352
2005-11-07,,,29.12421462,,,,,29.57363234
2005-11-08,,,29.07835349,,,,,29.86514684
2005-11-09,,,29.17660675,,,,,29.93282104
2005-11-10,,,29.67446301,,,,,29.3862217
2005-11-11,,,29.77928003,,,,,29.42266166
2005-11-14,,,29.88408394,,,,,29.49033066
2005-11-15,,,29.64170974,,,,,29.37580508
2005-11-16,,,29.45829143,,,,,29.76623318
2005-11-17,,,29.70066563,,,,,29.87035255
2005-11-18,,,29.84478002,,,,,30.32324914
2005-11-21,,,30.02819833,,,,,30.90628844
2005-11-22,,,30.19852189,,,,,31.05725397
2005-11-23,,,30.59811179,,,,,31.16657384
2005-11-25,,,30.7815301,,,,,31.29151083
2005-11-28,,,30.49984542,,,,,30.57833404
2005-11-29,,,30.64395981,,,,,30.37010052
2005-11-30,,,30.38572425,,,,,30.20872357
2005-12-01,,,30.37910282,,,,,30.89588223
2005-12-02,,,30.54463847,,,,,30.75012241
2005-12-05,,,30.74327464,,,,,30.97916315
2005-12-06,,,30.66382414,,,,,31.0728711
2005-12-07,,,30.36585997,,,,,30.72408866
2005-12-08,,,30.31288856,,,,,30.93231698
2005-12-09,,,30.39233905,,,,,30.45339184
2005-12-12,,,30.28640948,,,,,30.64079733
2005-12-13,,,30.78963124,,,,,30.74491149
2005-12-14,,,30.97503117,,,,,31.16136813
2005-12-15,,,30.90881029,,,,,30.96876214
2005-12-16,,,31.10083827,,,,,30.22434069
2005-12-19,,,30.80949552,,,,,30.0369352
2005-12-20,,,30.91543833,,,,,30.15666128
2005-12-21,,,30.8823312,,,,,29.98488333
2005-12-22,,,31.06773113,,,,,29.72459793
2005-12-23,,,31.08097399,,,,,29.72459793
2005-12-27,,,30.8293598,,,,,29.08429064
2005-12-28,,,30.63733844,,,,,29.28210754
2005-12-29,,,30.58436703,,,,,29.27690704
2005-12-30,,,30.55787471,,,,,29.24046188
2006-01-03,,,31.17367395,,,,,30.43777472
2006-01-04,,,30.84260265,,,,,30.48983701
2006-01-05,,,30.8823312,,,,,30.33886627
2006-01-06,,,30.83598784,,,,,30.93751748
2006-01-09,,,30.85585212,,,,,30.92190036
2006-01-10,,,30.5976165,,,,,31.16136813
2006-01-11,,,30.52478082,,,,,31.37480216
2006-01-12,,,30.32613141,,,,,31.04684256
2006-01-13,,,30.32613141,,,,,31.73920172
2006-01-17,,,30.00168154,,,,,32.03592187
2006-01-18,,,29.96856779,,,,,31.58823098
2006-01-19,,,29.88911729,,,,,32.01510425
2006-01-20,,,29.26008182,,,,,31.51015057
2006-01-23,,,29.10779564,,,,,31.85893301
2006-01-24,,,29.29319557,,,,,31.73400122
2006-01-25,,,29.55142456,,,,,31.34357312
2006-01-26,,,29.73019645,,,,,31.20821951
2006-01-27,,,29.66398881,,,,,31.90577917
2006-01-30,,,29.45210317,,,,,32.85322324
2006-01-31,,,29.28656752,,,,,32.66581775
2006-02-01,,,29.10116759,,,,,32.24936111
2006-02-02,,,28.76347486,,,,,32.24936111
2006-02-03,,,28.53172495,,,,,31.95784146
2006-02-06,,,28.71712488,,,,,32.25977252
2006-02-07,,,28.79658861,,,,,31.52056199
2006-02-08,,,28.91576766,,,,,31.60429589
2006-02-09,,,29.02171048,,,,,31.35832769
2006-02-10,,,29.08130331,,,,,31.10188754
2006-02-13,,,28.93563194,,,,,31.19086522
2006-02-14,,,29.24021754,,,,,31.16469316
2006-02-15,,,29.37264606,,,,,31.27458861
2006-02-16,,,29.59115312,,,,,31.53102876
2006-02-17,,,29.57128884,,,,,31.68802974
2006-02-21,,,29.49845316,,,,,31.79792519
2006-02-22,,,29.84938874,,,,,31.5362569
2006-02-23,,,30.04141009,,,,,31.3112274
2006-02-24,,,30.27316001,,,,,31.61999598
2006-02-27,,,30.44531708,,,,,31.35832769
2006-02-28,,,30.35924517,,,,,31.07049258
